layer,process,target,geometry_only,enriched_interpretable,geometry_plus_topology,rac_only,geo_plus_rac,topology_only
A_raw_uptake,methane_storage_psa,CH4_5.8bar,0.29511432135866594,0.3099348867981439,0.23720129551733427,0.01459083017872713,0.6938872952905102,-1.118047196519563
A_raw_uptake,methane_storage_psa,CH4_65bar,0.9495509297195468,0.9561522006091877,0.9518235192845718,-0.07176682287846337,0.9751937643767082,-0.49426424871605446
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.015bar,0.06077156581906887,0.07113916316209343,-0.034990424135830034,-1.298720405151463,-0.025477440339124524,-0.8891826233286388
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.15bar,0.27096906131728116,0.2870799537463059,0.3415973127104269,-0.9332676429083215,0.5052667010251307,-0.33312571048977835
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.075bar,0.047625976841697074,0.05568143958668153,0.15642451596966483,-0.14843416720531719,-0.3139654152066338,-0.32720660354342657
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.75bar,0.3316187234780751,0.3283726173764123,0.4578215610097874,0.04159096005729501,0.575553760036604,-0.33447105653091846
A_raw_uptake,pre_combustion_psa,precomb_CO2_0.4bar,0.2893882814429511,0.30935421377119177,0.38487213561983036,-0.7742758691974574,0.5237789088254842,-0.3763428815243929
A_raw_uptake,pre_combustion_psa,precomb_CO2_16bar,0.7695245197077232,0.7871538952013066,0.7913955873539192,-0.37598755985657767,0.8940910759157572,-0.5635262825126762
A_raw_uptake,pre_combustion_psa,precomb_H2_0.6bar,0.905096589700745,0.9028077979976808,0.8960984296637825,0.06423483537905206,0.9096664949955114,-0.8446059617435357
A_raw_uptake,pre_combustion_psa,precomb_H2_24bar,0.9717050856995371,0.9802331387648313,0.9804302489288967,-1.3150804510401841,0.9866312842342734,-3.623512368812854
A_raw_uptake,natural_gas_purification,ngp_CH4_0.9bar,0.21432185270473791,0.22477238211297854,0.2537450128848562,-0.21315045404252386,0.6158336919259653,-0.6599272528494844
A_raw_uptake,natural_gas_purification,ngp_CH4_9.0bar,0.6095769551784396,0.6231348431781717,0.5008489208427822,-0.21112685697565198,0.7262076008382401,-0.7573824723503018
A_raw_uptake,natural_gas_purification,ngp_CO2_0.1bar,0.22885508088448892,0.2495335855377136,0.20843403121672446,-0.6473109560630681,0.41143034846563453,-0.29644067581695155
A_raw_uptake,natural_gas_purification,ngp_CO2_1.0bar,0.25401083855676676,0.25952379193831576,0.2758161986687497,0.08593122126605401,0.5660702395793833,-0.9092936453248768
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_0.01bar,0.016897147445942572,0.029365915940122923,0.07558821878647697,-0.36646572346910505,0.5186165993516821,-0.6080817838611425
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_4.4bar,0.5435284339329228,0.5569073468274911,0.4408398147464278,-0.17892174899622082,0.7113443762594005,-0.5675279605414862
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_0.26bar,0.16604023697915615,0.18823069391134245,0.17948155870656424,-1.0280663533730916,0.36383987047962885,-0.4019743695223772
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_3.2bar,0.2879853030833166,0.2972415462301082,0.38867240009503023,0.057302173875437,0.6436703953495271,-1.040254169417669
B_working_capacity,methane_storage_psa,methane_storage_working_capacity,0.9706852046537706,0.9748386746506857,0.9731684208329863,-0.13278689090297305,0.9846260197239425,-0.8654640952248955
B_working_capacity,post_combustion_vsa,postcomb_working_capacity,0.2988845012883538,0.31913998272685273,0.41080222255044785,-0.772923829925805,0.4802934950911467,-0.3227691086991322
B_working_capacity,pre_combustion_psa,precomb_working_capacity,0.8230982082861381,0.8370157001283279,0.8214623402363862,-0.43078399805990997,0.9105375226830754,-0.5493794983651645
B_working_capacity,natural_gas_purification,ngp_working_capacity,0.352499218107165,0.36452945382434687,0.41654579630273436,-0.1314359892550322,0.611698357136819,-1.1532712190621113
B_working_capacity,landfill_gas_vpsa,landfill_working_capacity,0.39908033371307466,0.41210122087201223,0.4648176740864058,-0.1158399813372215,0.6996408611155338,-1.2109728371765165
C_direct_log_selectivity,post_combustion_vsa,postcomb_log_selectivity,0.6725962268110653,0.6702823593388898,0.7049567681519564,-0.32995992807488295,0.7935382246176348,-0.797671262267609
C_direct_log_selectivity,pre_combustion_psa,precomb_log_selectivity,0.8263709396758063,0.8405880124300247,0.8484264537860956,-0.8521787986364014,0.8886708164739814,-3.0760744596056306
C_direct_log_selectivity,natural_gas_purification,ngp_log_selectivity,0.48420304752797994,0.49723831096878224,0.4611012958348134,-0.055499044162396996,0.6678309676368774,-0.4752994790456494
C_direct_log_selectivity,landfill_gas_vpsa,landfill_log_selectivity,0.504337716570788,0.5212324860828655,0.48730331815694433,-0.2016834499091983,0.6607574071339422,-0.3879500903297133
