target,layer,process,descriptor_family,r2_mean,r2_std,r2_sem,r2_count,spearman_mean,spearman_std,mae_mean,mae_std,rmse_mean,rmse_std
CH4_5.8bar,A_raw_uptake,methane_storage_psa,enriched_interpretable,0.3099348867981439,0.14586830502864917,0.07293415251432459,4,0.6511585834162601,0.028719357656705767,0.7863538497080359,0.2591575515447288,1.0164088186959324,0.2936330868554284
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geo_plus_rac,0.6938872952905102,0.09258416973415165,0.046292084867075825,4,0.8578274454173948,0.043694335902463514,0.5009171578458211,0.1082359066590662,0.6612048650736952,0.13113293937821263
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geometry_only,0.29511432135866594,0.14070274820398695,0.07035137410199348,4,0.629944485424605,0.03551981926310732,0.7940400266424726,0.2556898079625692,1.0258617282138658,0.2834639257791687
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geometry_plus_topology,0.23720129551733427,0.15727341293949812,0.07863670646974906,4,0.6206972329924385,0.03058696459999305,0.8463461062644593,0.2823041464467296,1.072310599172411,0.32074968462500264
CH4_5.8bar,A_raw_uptake,methane_storage_psa,rac_only,0.01459083017872713,0.2750391130118675,0.13751955650593375,4,0.5892203314454998,0.10233243738187357,0.9869872376759816,0.2096495215168624,1.1950495793890932,0.25898093335530403
CH4_5.8bar,A_raw_uptake,methane_storage_psa,topology_only,-1.118047196519563,0.9113974758923904,0.4556987379461952,4,,,1.478613124166017,0.6958121939368566,1.7858397921610538,0.715928866608422
CH4_65bar,A_raw_uptake,methane_storage_psa,enriched_interpretable,0.9561522006091877,0.00855627304984129,0.004278136524920645,4,0.9796914375245229,0.0015272743036063726,0.9434333500899338,0.2459714183067143,1.248606126941263,0.3356508755640155
CH4_65bar,A_raw_uptake,methane_storage_psa,geo_plus_rac,0.9751937643767082,0.0055065697249811274,0.0027532848624905637,4,0.9873801919438212,0.004757684749235972,0.7156122685986285,0.12255779550125136,0.9218148975955711,0.14542096038196803
CH4_65bar,A_raw_uptake,methane_storage_psa,geometry_only,0.9495509297195468,0.011066351883394897,0.005533175941697449,4,0.9779902746774223,0.0013306641633673082,1.0009351639953465,0.26679186418208745,1.3407670826416058,0.3823997389061261
CH4_65bar,A_raw_uptake,methane_storage_psa,geometry_plus_topology,0.9518235192845718,0.00730838908155543,0.003654194540777715,4,0.9800991504122127,0.0015128589005943098,0.9709389320305248,0.20801353327140726,1.3027916429227275,0.2966375835791217
CH4_65bar,A_raw_uptake,methane_storage_psa,rac_only,-0.07176682287846337,0.38662743434333857,0.19331371717166929,4,0.5688947911185022,0.05137592385347854,4.952503934184639,1.0748100899525221,5.971269693582323,1.0992327482941877
CH4_65bar,A_raw_uptake,methane_storage_psa,topology_only,-0.49426424871605446,0.6448857561459792,0.3224428780729896,4,,,5.785853911028394,1.3693720436829264,7.022458734757508,1.2568614148354391
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,0.029365915940122923,0.24173264014472287,0.12086632007236144,4,0.590265100646923,0.057538384623399226,0.004223935570253125,0.002671643755198578,0.0057538418097665255,0.0032013339886785316
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,0.5186165993516821,0.06586225275856955,0.032931126379284775,4,0.7870148241977132,0.05122423589923228,0.00288728353959745,0.0014979092787201919,0.003974039749108675,0.0018692119393611446
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,0.016897147445942572,0.21040356479511177,0.10520178239755588,4,0.5704331538418159,0.06368402469523804,0.004237539284895325,0.0026695896771382656,0.0057887524275217,0.003182431555441557
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,geometry_plus_topology,0.07558821878647697,0.34700146878231514,0.17350073439115757,4,0.5720408479580276,0.0830662221974869,0.00432484367985505,0.0032306155215069536,0.005772918403527425,0.0038585895221379665
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,rac_only,-0.36646572346910505,0.37729718912405413,0.18864859456202707,4,0.5134507605324015,0.1281015357240797,0.0053018691576021,0.0028697078239075064,0.006738935815077325,0.0035409891088241936
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,topology_only,-0.6080817838611425,0.6765852226187834,0.3382926113093917,4,,,0.005894586396604401,0.0046579440574638685,0.007646628814682625,0.005315419621197881
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,0.5569073468274911,0.11101656453163852,0.05550828226581926,4,0.7046029355467576,0.09901676340938316,0.2125792721039006,0.041446476390585144,0.2717069741790378,0.05131707380008927
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,0.7113443762594005,0.10298344831535461,0.051491724157677304,4,0.8635473098135107,0.04508830642063297,0.1731985177494591,0.041789046098669125,0.2171881042577602,0.04672740618585438
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,0.5435284339329228,0.12607829605187948,0.06303914802593974,4,0.6833379341547662,0.11027464465240908,0.2146316663016471,0.039616938560339425,0.27459377755564224,0.047820816458837526
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,geometry_plus_topology,0.4408398147464278,0.02773903287180715,0.013869516435903576,4,0.665270727125889,0.0920007306109216,0.24685491331258594,0.05405995706017852,0.3098884488795218,0.06422012955056267
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,rac_only,-0.17892174899622082,0.7704467815958244,0.3852233907979122,4,0.48704831652326486,0.17783332104627836,0.36022332292700804,0.16494490300915407,0.43725441181298663,0.16703958652737405
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,topology_only,-0.5675279605414862,0.35362738824311635,0.17681369412155817,4,,,0.4354145022695438,0.10568209115476179,0.5148507175654558,0.10643059208597822
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,0.18823069391134245,0.22242607380662371,0.11121303690331186,4,0.6473447240210588,0.06883052954531278,0.26070258719677386,0.14173963218009678,0.426183381101276,0.15655386122751908
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,0.36383987047962885,0.4754268028158077,0.23771340140790384,4,0.7753412632717112,0.06812310572784651,0.24632066510784464,0.15708278912680684,0.36008752769739516,0.15432096410766974
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,0.16604023697915615,0.21396190440915216,0.10698095220457608,4,0.6450239803689376,0.056680336081538496,0.2630362243000825,0.1446517086418526,0.4330241659596723,0.16132888529661765
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,geometry_plus_topology,0.17948155870656424,0.3181108638278947,0.15905543191394736,4,0.6488425576129648,0.06198913696744819,0.2452489682276938,0.1047125486158723,0.4152101565917533,0.10839923470423392
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,rac_only,-1.0280663533730916,1.0726414828232211,0.5363207414116106,4,0.33146290175164805,0.14483398597623579,0.50433732566428,0.17288036185831526,0.6411415130683777,0.17858189136637836
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,topology_only,-0.4019743695223772,0.2693438704523046,0.1346719352261523,4,,,0.4308889422399124,0.1423229004614969,0.5615140144846125,0.20465946291977735
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,0.2972415462301082,0.12917543338538098,0.06458771669269049,4,0.6373110231971295,0.03377748817311386,0.8844620706791974,0.17911592284088496,1.1775186849507198,0.19736561587148405
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,0.6436703953495271,0.18561363459326055,0.09280681729663028,4,0.8371977593497465,0.04967849021252103,0.6231784052621753,0.2113384716222923,0.8197357983393179,0.21966175047578548
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,0.2879853030833166,0.10828441845733738,0.05414220922866869,4,0.6286152192424205,0.04711093464323904,0.8897583668063951,0.16944034076860817,1.1849108261253771,0.17437892202280547
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,geometry_plus_topology,0.38867240009503023,0.11307726346285413,0.056538631731427064,4,0.6571525874198267,0.02898383518931706,0.8064384527155717,0.10796680919118588,1.0926138780002426,0.12813964256188004
