layer,process,model,descriptor_family,r2_random_mean,r2_random_std,r2_ood_mean,r2_ood_std,r2_gap_mean,r2_gap_std,n_targets
A_raw_uptake,landfill_gas_vpsa,lgbm,enriched_interpretable,0.7384816110660766,0.03573171820089878,0.26793637572726614,0.22183467955033384,0.4705452353388104,0.20866136389576354,4
A_raw_uptake,landfill_gas_vpsa,lgbm,geo_plus_rac,0.9198535383641662,0.018802148663559972,0.5593678103600597,0.1528568381318478,0.3604857280041066,0.13960508303024893,4
A_raw_uptake,landfill_gas_vpsa,lgbm,geometry_only,0.6886403650489357,0.038777571240161714,0.2536127803603345,0.22281217630182937,0.43502758468860103,0.20039987963677325,4
A_raw_uptake,landfill_gas_vpsa,lgbm,geometry_plus_topology,0.7918248638177715,0.031187141348331074,0.2711454980836248,0.17248542070976924,0.5206793657341466,0.17598324152559439,4
A_raw_uptake,landfill_gas_vpsa,lgbm,rac_only,0.7641789646572366,0.04780926187369281,-0.37903791299074513,0.4661312858243479,1.1432168776479816,0.45888592984214666,4
A_raw_uptake,landfill_gas_vpsa,lgbm,topology_only,0.3423715028764557,0.14794014613301826,-0.6544595708356687,0.2722096331691528,0.9968310737121244,0.3215237798663954,4
A_raw_uptake,landfill_gas_vpsa,rf,enriched_interpretable,0.7413102784565442,0.024431043512902956,0.27021848939019744,0.2236490016114244,0.47109178906634674,0.21721769939819008,4
A_raw_uptake,landfill_gas_vpsa,rf,geo_plus_rac,0.8949552580531461,0.017470146821659475,0.4255561318610191,0.12593634653189154,0.4693991261921271,0.12695876617338386,4
A_raw_uptake,landfill_gas_vpsa,rf,geometry_only,0.7012952499420062,0.030977753012953944,0.2503527168732639,0.22513868883091928,0.45094253306874243,0.20787900163285167,4
A_raw_uptake,landfill_gas_vpsa,rf,geometry_plus_topology,0.7936580059744374,0.02827383516364277,0.281656335821944,0.1670629939892554,0.5120016701524933,0.17726625878331567,4
A_raw_uptake,landfill_gas_vpsa,rf,rac_only,0.7572600440977648,0.05472881338166608,-0.34591630135154794,0.4472870709756297,1.1031763454493126,0.47056950681941445,4
A_raw_uptake,landfill_gas_vpsa,rf,topology_only,0.3393096028001836,0.15110855827228473,-0.5756611193871382,0.3226135050423958,0.9149707221873218,0.40227842310319517,4
A_raw_uptake,landfill_gas_vpsa,ridge,enriched_interpretable,0.5255992180447979,0.048249059247102426,0.10137319016484231,0.3661426799673498,0.4242260278799556,0.32877966645771156,4
A_raw_uptake,landfill_gas_vpsa,ridge,geo_plus_rac,0.7606594769019257,0.0476153685724315,0.27467493437521034,0.23790591422292803,0.4859845425267153,0.23265847628302092,4
A_raw_uptake,landfill_gas_vpsa,ridge,geometry_only,0.4113108682718836,0.044695362234984735,0.027151864196950412,0.3099453690782952,0.3841590040749332,0.2656844732108909,4
A_raw_uptake,landfill_gas_vpsa,ridge,geometry_plus_topology,0.6120886113293965,0.03885276439880892,0.11237588652916497,0.1707509309669907,0.4997127248002315,0.1783814611190843,4
A_raw_uptake,landfill_gas_vpsa,ridge,rac_only,-2.891941163805947,6.927882354132884,-0.7289250081050569,0.47654139605306645,-2.16301615570089,7.343427849206876,4
A_raw_uptake,landfill_gas_vpsa,ridge,topology_only,0.3467739928813627,0.14759131765843994,-0.6561999902519735,0.24705441379331208,1.002973983133336,0.29531745795597775,4
A_raw_uptake,methane_storage_psa,lgbm,enriched_interpretable,0.8720377022343153,0.15588779656506208,0.6330435437036658,0.4569446447159442,0.2389941585306495,0.3010568481508822,2
A_raw_uptake,methane_storage_psa,lgbm,geo_plus_rac,0.9697681499837458,0.03468688020876079,0.8345405298336093,0.19891371188249451,0.13522762015013662,0.16422683167373375,2
A_raw_uptake,methane_storage_psa,lgbm,geometry_only,0.8447621444673271,0.18811004826108668,0.6223326255391064,0.46275656362870365,0.22242951892822074,0.274646515367617,2
A_raw_uptake,methane_storage_psa,lgbm,geometry_plus_topology,0.8988962712325353,0.12106092199038772,0.594512407400953,0.505314220412424,0.30438386383158234,0.3842532984220363,2
A_raw_uptake,methane_storage_psa,lgbm,rac_only,0.8093190020253648,0.010313583438291722,-0.028587996349868118,0.061064082084094584,0.837906998375233,0.07137766552238624,2
A_raw_uptake,methane_storage_psa,lgbm,topology_only,0.36578689248565344,0.037798336389935586,-0.8061557226178088,0.4410811523803952,1.1719426151034622,0.47887948877033076,2
