process,n_folds,r2_direct_mean,r2_direct_std,r2_posthoc_mean,r2_posthoc_std,spearman_direct_mean,spearman_posthoc_mean,mae_direct_mean,mae_posthoc_mean,delta_r2_mean,delta_r2_std
landfill_gas_vpsa,4,0.6607574071339422,0.12286795277261307,0.43072213049208374,0.3505612159731599,0.8432417700064703,0.8308358298841638,0.16024164507820501,0.19042415328605344,0.23003527664185838,0.24045369202393096
natural_gas_purification,4,0.6678309676368774,0.1622543046260932,0.4171702722089302,0.45819745665998046,0.8320818485243651,0.8191834629792997,0.18921256520366642,0.2301757373847632,0.2506606954279472,0.3090055709450386
post_combustion_vsa,4,0.7935382246176347,0.08884304595640519,0.3104808269699584,0.27324168205349586,0.8829215762251428,0.8173221767453163,0.4243129552654381,0.8384945524495869,0.4830573976476763,0.29001621739607447
pre_combustion_psa,4,0.8886708164739814,0.0642327231827855,0.8236251273714076,0.07740599478046237,0.8715881616149879,0.8095871497296492,0.17884433398179195,0.23263093267347842,0.06504568910257383,0.02317638058810026
