target,process,layer,family,role,fold,n_mofs,recall_at_100,precision_at_100,misid_at_100,recall_at_1000,precision_at_1000,misid_at_1000
precomb_CO2_0.4bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,2,53994,0.47,0.47,,0.506,0.506,
precomb_CO2_0.4bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,3,53994,0.06,0.06,,0.299,0.299,
precomb_CO2_16bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,0,93957,0.0,0.0,,0.087,0.087,
precomb_CO2_16bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,1,53994,0.0,0.0,,0.449,0.449,
precomb_CO2_16bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,2,53994,0.0,0.0,,0.163,0.163,
precomb_CO2_16bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,3,53994,0.12,0.12,,0.548,0.548,
precomb_CO2_16bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,0,93957,0.66,0.66,,0.528,0.528,
precomb_CO2_16bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,1,53994,0.76,0.76,,0.694,0.694,
precomb_CO2_16bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,2,53994,0.5,0.5,,0.471,0.471,
precomb_CO2_16bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,3,53994,0.17,0.17,,0.614,0.614,
precomb_H2_0.6bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,0,93957,0.65,0.65,,0.521,0.521,
precomb_H2_0.6bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,1,53994,0.7,0.7,,0.776,0.776,
precomb_H2_0.6bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,2,53994,0.23,0.23,,0.567,0.567,
precomb_H2_0.6bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,3,53994,0.67,0.67,,0.818,0.818,
