process,n_folds,r2_wc_mean,r2_wc_std,r2_q_ads_mean,r2_q_ads_std,r2_q_des_mean,r2_q_des_std,wc_minus_q_des_mean,wc_minus_q_des_std,wc_minus_q_ads_mean,wc_minus_q_ads_std,component_masking_flag
landfill_gas_vpsa,4,0.6996408611155338,0.09987826411019987,0.6436703953495271,0.18561363459326052,0.3638398704796289,0.4754268028158075,0.33580099063590485,0.38063386096499224,0.05597046576600673,0.08874135746560106,1
methane_storage_psa,4,0.9706852046537706,0.008585272503838367,0.9751937643767082,0.005506569724981088,0.6938872952905102,0.09258416973415165,0.27679790936326043,0.09889157716493184,-0.004508559722937705,0.012873571291504826,1
natural_gas_purification,4,0.6116983571368191,0.22800279465461706,0.5660702395793833,0.28038813477360885,0.41143034846563453,0.4412507284025086,0.2002680086711845,0.21941121283447043,0.04562811755743579,0.06592951169558188,1
post_combustion_vsa,4,0.4802934950911468,0.39159067074190107,0.2709690613172812,0.18315685210078503,0.060771565819068674,0.2792385219154972,0.4195219292720782,0.5001175331778379,0.20932443377386564,0.44639571237472936,1
pre_combustion_psa,4,0.9105375226830754,0.06738601532210789,0.7695245197077231,0.1821826309836824,0.28938828144295115,0.17789986936088084,0.6211492412401243,0.23432333229946883,0.1410130029753523,0.11653154400503586,1
