target,family,is_recommended,n_folds,recall_at_100_mean,recall_at_100_std,recall_at_1000_mean,recall_at_1000_std,precision_at_100_mean,precision_at_100_std,precision_at_1000_mean,precision_at_1000_std,champion_misidentification_at_100_mean,champion_misidentification_at_100_std,champion_misidentification_at_1000_mean,champion_misidentification_at_1000_std
CH4_65bar,geo_plus_rac,1,4,0.8375,0.0736545993132812,0.83375,0.07639971640436019,0.8375,0.0736545993132812,0.83375,0.07639971640436019,,,,
CH4_65bar,geometry_only,0,4,0.5825,0.26056029372616746,0.6597500000000001,0.19118119677415976,0.5825,0.26056029372616746,0.6597500000000001,0.19118119677415976,,,,
postcomb_CO2_0.015bar,geo_plus_rac,0,4,0.35000000000000003,0.14583095236151572,0.433,0.13895083063203809,0.35000000000000003,0.14583095236151572,0.433,0.13895083063203809,,,,
postcomb_CO2_0.015bar,geometry_only,1,4,0.13,0.06782329983125268,0.249,0.09347726996441434,0.13,0.06782329983125268,0.249,0.09347726996441434,,,,
postcomb_log_selectivity,geo_plus_rac,1,4,0.13,0.0804155872120988,0.425,0.1280494696071275,0.13,0.0804155872120988,0.425,0.1280494696071275,0.87,0.08041558721209878,0.575,0.1280494696071275
postcomb_log_selectivity,geometry_only,0,4,0.105,0.07047458170621991,0.26925,0.11020095280894808,0.105,0.07047458170621991,0.26925,0.11020095280894808,0.895,0.0704745817062199,0.73075,0.11020095280894808
